id,label,text,,,,,
0,1,甘くてカリカリしてて牛乳かけて食べるやつ,,,,,
1,0,死ぬ前の最後のご飯でもいい,,,,,
2,1,まだ寿命に余裕があるから食べていられる,,,,,
3,1,最後のご飯に任命されたら荷が重い,,,,,
4,1,なぜあんなに栄養バランスの五角形がでかいのかわからない,,,,,
5,1,パッケージに書いてある五角形めちゃくちゃでかい,,,,,
6,1,自分の得意な科目だけで勝負してるからやと睨んでる,,,,,
7,1,牛乳の栄養素を含んだ上での五角形,,,,,
8,0,晩御飯ででてきても全然いい,,,,,
9,1,晩飯ででてきたらちゃぶ台ひっくりかえす,,,,,
10,1,まだ朝の寝ぼけてる段階だから食べていられる,,,,,
11,1,食べてるうちに段々と目が覚めてくるから最後ちょっと残してしまう,,,,,
12,1,子供の頃なぜかみんな憧れてた,,,,,
13,1,ミロとフルーチェは憧れた,,,,,
14,1,トランシーバも憧れた,,,,,
15,1,おもちゃのエアホッケーも憧れた,,,,,
16,0,お坊さんが修行の時も食べてる,,,,,
17,0,精進料理にカタカナのメニューなんて出てこない,,,,,
18,1,朝から楽して腹を満たしたいという煩悩の塊,,,,,
19,1,あれみんな煩悩に牛乳かけて食べてる,,,,,
20,1,パフェとかの傘増しに使われてる,,,,,
21,1,あれ法律すれすれくらい入ってるから,,,,,
22,1,店側がもう一段増やそうもんなら俺は動くよ,,,,,
23,0,ジャンルで言うたら中華,,,,,
24,1,回るテーブルの上においたら回した時全部飛び散る,,,,,
25,1,いただきます言う奴みたことない,,,,,
26,1,おったとしても絶対に手は合わせへん,,,,,
27,0,芸人で例えると正統派漫才師,,,,,
28,1,芸人で例えると8人組ショートコント集団,,,,,
29,1,そんぐらい変なやつよ,,,,,
30,1,食べてる時に誰に感謝したらいいかわからない,,,,,
31,1,生産者さんの顔がうかばない,,,,,
32,1,浮かんでくるのは腕組んでるトラの顔だけ,,,,,
33,1,赤いスカーフのトラの顔だけ,,,,,
34,0,おかんがではないと言ってる,,,,,
35,1,実は1番うまいのは最後に飲む甘くなった牛乳,,,,,
36,1,甘くなった牛乳をアイスにしたお店がアメリカにある,,,,,
37,1,日曜朝のアニメ見るときのCMで流れてた,,,,,
38,1,そのまま食っても割とイケるらしいねん,,,,,
39,0,スーパーでいっつも売り切れてるらしい,,,,,
40,0,ジューシーでやみつきになる,,,,,
41,0,インド映画といったらこれ,,,,,
42,0,子供の頃指にはめて遊んでた,,,,,
43,0,見た目が複雑,,,,,
44,0,醤油で煮詰めるとうまい,,,,,
45,0,プニプニしてる,,,,,
46,0,青色が一般的,,,,,
47,0,たまに星型やハート型がはいってる,,,,,
48,0,占い要素がある,,,,,
49,0,当たりが出たらもう一枚もらえる,,,,,
50,0,居酒屋のお通しででてくる,,,,,
51,0,匂いだけでご飯３杯はいける,,,,,
52,0,コーラを入れて食べるのが主流,,,,,
53,0,給食ででてきたら人気商品,,,,,
54,0,おふくろの味である,,,,,
55,0,友達と交換しあうと楽しい,,,,,
56,0,南極のしろくまも大好物,,,,,
57,0,食べるとぐんと目が良くなる,,,,,
58,0,サプリメントの一種である,,,,,
59,0,プロレスラーの練習相手となる,,,,,
60,0,アロマオイルとして効果がある,,,,,
61,0,昆虫食である,,,,,
62,0,踊り食いが有名,,,,,
63,0,油っこい,,,,,
64,0,一枚で満足できる,,,,,
65,0,金属の一種である,,,,,
66,0,火星でつくられている,,,,,
67,0,お土産でもらったらうれしい,,,,,
68,0,初デートで食べるべきもの,,,,,
69,0,緑色が一般的,,,,,
70,0,水素の音がする,,,,,
71,0,食べてなかったらコールされる,,,,,
72,0,花見するときに必須,,,,,
73,0,焚き火することができる,,,,,
74,1,薄い破片に成型されてある,,,,,
75,1,シリアル食品である,,,,,
76,1,朝食用として普及している,,,,,
77,1,アメリカで発明された,,,,,
78,1,元々は健康食品として開発された,,,,,
79,1,トウモロコシが原料,,,,,
80,1,温めた牛乳で食べてもおいしい,,,,,
81,1,チョコレートをコーティングしたものもある,,,,,
82,1,ケロッグ博士という映画がある,,,,,
83,1,性欲を抑える効用があることを売り文句にしていた,,,,,
84,1,お米はちょっと重たいと感じる人におすすめ,,,,,
85,1,お菓子作りに使われることもある,,,,,
86,1,ダイエットにはおすすめできない,,,,,
87,1,食べ過ぎには注意,,,,,
88,1,味が付いてないプレーンタイプもある,,,,,
89,1,賞味期限は６ヶ月ほど,,,,,
90,1,開封したら早めに食べたほうがいい,,,,,
91,1,M1優勝のネタで使われた,,,,,
92,1,発明されたのは禁酒運動が盛んになっていた時期,,,,,
93,1,禁酒活動と共に広まったものとして菜食主義がある,,,,,
94,1,茶色のものが主流,,,,,
95,0,スターバックスのメイン商品である,,,,,
96,0,車の燃料として注目されている,,,,,
97,0,伝統和食として認定されている,,,,,
98,0,喧嘩の発端はだいたいこれ,,,,,
99,0,粗大ゴミである,,,,,
